IndexNumber_Target,CCT_Target,Duv_Target,Duv_signed,CIEu1960_Target,CIEv1960_Target,CIEu1976_Target,CIEv1976_Target
0,2700,0.00300000000000005,0.00300000000000005,0.261660427187746,0.354450467926018,0.261660427187746,0.531675701889027
1,2700,0.00600000000000005,0.00600000000000005,0.260826332875491,0.357332183852036,0.260826332875491,0.535998275778053
2,2700,0.00900000000000005,0.00900000000000005,0.259992238563237,0.360213899778054,0.259992238563237,0.54032084966708
3,2700,0.0120000000000001,0.0120000000000001,0.259158144250982,0.363095615704071,0.259158144250982,0.544643423556107
4,2700,0.015,0.015,0.258324049938728,0.365977331630089,0.258324049938728,0.548965997445134
5,2700,0.0180000000000002,0.0180000000000002,0.257489955626473,0.368859047556107,0.257489955626473,0.553288571334161
6,2700,0.0210000000000002,0.0210000000000002,0.256655861314219,0.371740763482125,0.256655861314219,0.557611145223187
7,2700,0.0240000000000002,0.0240000000000002,0.255821767001964,0.374622479408143,0.255821767001964,0.561933719112214
8,2700,0.0270000000000002,0.0270000000000002,0.25498767268971,0.377504195334161,0.25498767268971,0.566256293001241
9,2700,0.0300000000000002,0.0300000000000002,0.254153578377455,0.380385911260178,0.254153578377455,0.570578866890268
10,2700,0.0330000000000001,0.0330000000000001,0.253319484065201,0.383267627186196,0.253319484065201,0.574901440779294
11,2700,0.0360000000000001,0.0360000000000001,0.252485389752947,0.386149343112214,0.252485389752947,0.579224014668321
12,2700,0.0390000000000001,0.0390000000000001,0.251651295440692,0.389031059038232,0.251651295440692,0.583546588557348
13,2700,0.0420000000000001,0.0420000000000001,0.250817201128438,0.39191277496425,0.250817201128438,0.587869162446374
14,2700,0.0450000000000002,0.0450000000000002,0.249983106816183,0.394794490890268,0.249983106816183,0.592191736335401
15,2700,0.0480000000000002,0.0480000000000002,0.249149012503929,0.397676206816285,0.249149012503929,0.596514310224428
16,2700,0,0,0.2624945215,0.351568752,0.2624945215,0.527353128
17,2700,0.00300000000000005,-0.00300000000000005,0.263328615812254,0.348687036073982,0.263328615812254,0.523030554110973
18,2700,0.00600000000000005,-0.00600000000000005,0.264162710124509,0.345805320147965,0.264162710124509,0.518707980221947
19,2700,0.00900000000000005,-0.00900000000000005,0.264996804436763,0.342923604221947,0.264996804436763,0.51438540633292
20,2700,0.0120000000000001,-0.0120000000000001,0.265830898749018,0.340041888295929,0.265830898749018,0.510062832443893
21,2700,0.015,-0.015,0.266664993061272,0.337160172369911,0.266664993061272,0.505740258554866
22,2700,0.0180000000000002,-0.0180000000000002,0.267499087373527,0.334278456443893,0.267499087373527,0.50141768466584
23,2700,0.0210000000000002,-0.0210000000000002,0.268333181685781,0.331396740517875,0.268333181685781,0.497095110776813
24,2700,0.0240000000000002,-0.0240000000000002,0.269167275998036,0.328515024591857,0.269167275998036,0.492772536887786
25,2700,0.0270000000000002,-0.0270000000000002,0.27000137031029,0.32563330866584,0.27000137031029,0.488449962998759
26,2700,0.0300000000000002,-0.0300000000000002,0.270835464622545,0.322751592739822,0.270835464622545,0.484127389109733
27,2700,0.0330000000000001,-0.0330000000000001,0.271669558934799,0.319869876813804,0.271669558934799,0.479804815220706
28,2700,0.0360000000000001,-0.0360000000000001,0.272503653247054,0.316988160887786,0.272503653247054,0.475482241331679
29,2700,0.0390000000000001,-0.0390000000000001,0.273337747559308,0.314106444961768,0.273337747559308,0.471159667442653
30,2700,0.0420000000000001,-0.0420000000000001,0.274171841871562,0.311224729035751,0.274171841871562,0.466837093553626
31,2700,0.0450000000000002,-0.0450000000000002,0.275005936183817,0.308343013109733,0.275005936183817,0.462514519664599
32,2700,0.0480000000000002,-0.0480000000000002,0.275840030496071,0.305461297183715,0.275840030496071,0.458191945775572
33,2796,0.00300000000000007,0.00300000000000007,0.257461885937551,0.353175238708057,0.257461885937551,0.529762858062085
34,2796,0.00600000000000014,0.00600000000000014,0.256550886575102,0.356033573916114,0.256550886575102,0.534050360874171
35,2796,0.00900000000000011,0.00900000000000011,0.255639887212654,0.358891909124171,0.255639887212654,0.538337863686256
36,2796,0.0120000000000001,0.0120000000000001,0.254728887850205,0.361750244332228,0.254728887850205,0.542625366498342
37,2796,0.0150000000000002,0.0150000000000002,0.253817888487756,0.364608579540285,0.253817888487756,0.546912869310427
38,2796,0.0180000000000001,0.0180000000000001,0.252906889125307,0.367466914748342,0.252906889125307,0.551200372122512
39,2796,0.0210000000000001,0.0210000000000001,0.251995889762858,0.370325249956399,0.251995889762858,0.555487874934598
40,2796,0.0240000000000002,0.0240000000000002,0.251084890400409,0.373183585164456,0.251084890400409,0.559775377746683
41,2796,0.0270000000000001,0.0270000000000001,0.250173891037961,0.376041920372512,0.250173891037961,0.564062880558769
42,2796,0.0300000000000001,0.0300000000000001,0.249262891675512,0.378900255580569,0.249262891675512,0.568350383370854
43,2796,0.0330000000000002,0.0330000000000002,0.248351892313063,0.381758590788626,0.248351892313063,0.57263788618294
44,2796,0.0360000000000001,0.0360000000000001,0.247440892950614,0.384616925996683,0.247440892950614,0.576925388995025
45,2796,0.0390000000000001,0.0390000000000001,0.246529893588165,0.38747526120474,0.246529893588165,0.58121289180711
46,2796,0.0420000000000002,0.0420000000000002,0.245618894225717,0.390333596412797,0.245618894225717,0.585500394619196
47,2796,0.0450000000000001,0.0450000000000001,0.244707894863268,0.393191931620854,0.244707894863268,0.589787897431281
48,2796,0.0480000000000001,0.0480000000000001,0.243796895500819,0.396050266828911,0.243796895500819,0.594075400243366
49,2796,0,0,0.2583728853,0.3503169035,0.2583728853,0.52547535525
