CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,Gesamtspektrum
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11638523288945e-05,0.0,0.0,4.11638523288945e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.12620011192918e-05,0.0,0.0,7.12620011192918e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000106334923951471,0.0,0.0,0.000106334923951471
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000144657374769948,0.0,0.0,0.000144657374769948
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020001473669131102,0.0,0.0,0.00020001473669131102
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000280556670807558,0.0,0.0,0.000280556670807558
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000381460209110148,0.0,0.0,0.000381460209110148
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004937567325528769,0.0,0.0,0.0004937567325528769
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000629358322319194,0.0,0.0,0.000629358322319194
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000826448016333371,0.0,0.0,0.000826448016333371
